Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Orson Scott Card,Ender's Game,712607943,9780712607940,OL49488W,Ender's Game,Orson Scott Card,78e94aba-f608-4ba8-b9f5-762f5becf4d3
Frank Herbert,Dune,1444738208,9781444738209,OL893415W,Dune,Frank Herbert,1ee3f05f-17bd-4cc1-bc6b-af353b97698a
Douglas Adams,The Hitchhiker's Guide to the Galaxy,1787534677,9781787534674,OL29319024W,The Hitchhiker's Guide to the Galaxy,Douglas Adams,696c5447-676f-4488-ae1a-530e28c98345
Ray Bradbury,Fahrenheit 451,,9781508760863,OL103123W,Fahrenheit 451,Ray Bradbury,056cb9c1-e798-439c-881f-b2cb276da574
George Orwell,1984,,9788418933011,OL30827457W,1984,George Orwell,6ff3f487-8d37-4ac5-8190-6622d6562639
Aldous Huxley,Brave New World,,9781514350126,OL64365W,Brave New World,Aldous Huxley,8b078331-842c-40ca-a77a-e26e3977ee25
Isaac Asimov,Foundation,,9780008117498,OL46125W,Foundation,Isaac Asimov,e076391b-0215-46a0-826d-318918fef86e
Philip K. Dick,Do Androids Dream of Electric Sheep?,345350472,9780345350473,OL2172356W,Do Androids Dream of Electric Sheep?,Philip K. Dick,afa2e754-9035-4f8e-a8e8-d654d78ebd0d
H.G. Wells,The Time Machine,1499181892,9781499181890,OL52267W,The Time Machine,H.G. Wells,77fcb338-d56d-4fee-9c47-51b490cf4167
William Gibson,Neuromancer,441007465,,OL27258W,Neuromancer,William Gibson,0a2e6342-d2a0-45ab-b3e2-364747f6546b
Isaac Asimov,"I, Robot",,9788804735113,OL46241W,"I, Robot",Isaac Asimov,7166e58a-614c-456a-a2bd-703e18ecf40c
Robert A. Heinlein,Stranger in a Strange Land,,9781101208960,OL59688W,Stranger in a Strange Land,Robert A. Heinlein,a9639583-4f0e-491a-93bc-276aee859126
Michael Crichton,Jurassic Park,,9788811602279,OL46881W,Jurassic Park,Michael Crichton,2d37c7a2-6966-4ff9-8922-bb3aaad012d2
Arthur C. Clarke,2001: A Space Odyssey,,,OL17365W,2001: A Space Odyssey,Arthur C. Clarke,41b2cb15-4427-4a36-931f-5882a6e68d2a
Douglas Adams,Restaurant at the End of the Universe,,9781535200080,OL41206116W,The Restaurant at the End of the Universe,Douglas Adams,ad1c8702-a140-4b32-a426-e21de2f65394
H.G. Wells,The War of the Worlds,60791241,9780060791247,OL52114W,The War of the Worlds,H.G. Wells,76bb6f33-4a36-44a9-9edb-877ca8672510
