Author,Title
Orson Scott Card,Ender's Game
Frank Herbert,Dune
Douglas Adams,The Hitchhiker's Guide to the Galaxy
Ray Bradbury,Fahrenheit 451
George Orwell,1984
Aldous Huxley,Brave New World
Isaac Asimov,Foundation
Philip K. Dick,Do Androids Dream of Electric Sheep?
H.G. Wells,The Time Machine
William Gibson,Neuromancer
Isaac Asimov,"I, Robot"
Robert A. Heinlein,Stranger in a Strange Land
Michael Crichton,Jurassic Park
Arthur C. Clarke,2001: A Space Odyssey
Douglas Adams,Restaurant at the End of the Universe
H.G. Wells,The War of the Worlds
Orson Scott Card,Speaker for the Dead
Ray Bradbury,The Martian Chronicles
Dan Simmons,Hyperion
Kurt Vonnegut Jr.,Slaughterhouse-Five
Ursula K. Le Guin,The Left Hand of Darkness
Neal Stephenson,Snow Crash
Mary Shelley,Frankenstein
Isaac Asimov,Foundation and Empire
Douglas Adams,"Life, the Universe and Everything"
Robert A. Heinlein,Starship Troopers
Isaac Asimov,Second Foundation
Frank Herbert,Dune Messiah
Joe Haldeman,The Forever War
Philip K. Dick,The Man in the High Castle
Arthur C. Clarke,Childhood's End
Arthur C. Clarke,Rendezvous with Rama
Daniel Keyes,Flowers for Algernon
Robert A. Heinlein,The Moon Is a Harsh Mistress
Orson Scott Card,Xenocide
Frank Herbert,Children of Dune
Ursula K. Le Guin,The Dispossessed
Larry Niven,Ringworld
Orson Scott Card,Ender's Shadow
Walter M. Miller Jr.,A Canticle for Leibowitz
Isaac Asimov,The Caves of Steel
H.G. Wells,The Invisible Man
Iain M. Banks,Consider Phlebas
Kurt Vonnegut Jr.,Cat's Cradle
Jules Verne,Twenty Thousand Leagues Under the Sea
Michael Crichton,The Andromeda Strain
Carl Sagan,Contact
Kim Stanley Robinson,Red Mars
Isaac Asimov,Foundation's Edge
Anthony Burgess,A Clockwork Orange
Dan Simmons,The Fall of Hyperion
Philip K. Dick,Ubik
Stanislaw Lem,Solaris
Jules Verne,Journey to the Center of the Earth
John Wyndham,The Day of the Triffids
H.G. Wells,The Island of Doctor Moreau
Neal Stephenson,The Diamond Age
Michael Crichton,Sphere
Connie Willis,Doomsday Book
Philip K. Dick,A Scanner Darkly
Octavia E. Butler,Kindred
Ursula K. Le Guin,The Lathe of Heaven
Mary Doria Russell,The Sparrow
Alfred Bester,The Stars My Destination
Michael Crichton,Timeline
Vernor Vinge,A Fire Upon the Deep
Kurt Vonnegut Jr.,The Sirens of Titan
Ray Bradbury,The Illustrated Man
Isaac Asimov,The Naked Sun
Iain M. Banks,The Player of Games
C.S. Lewis,Out of the Silent Planet
Isaac Asimov,The Gods Themselves
Octavia E. Butler,Parable of the Sower
Larry Niven & Jerry Pournelle,The Mote in God's Eye
Neal Stephenson,Cryptonomicon
Isaac Asimov,The Robots of Dawn
Arthur C. Clarke,2010: Odyssey Two
Lois McMaster Bujold,Shards of Honour
Edgar Rice Burroughs,A Princess of Mars
Yevgeny Zamyatin,We
Arkady & Boris Strugatsky,Roadside Picnic
Isaac Asimov,The End of Eternity
David Weber,On Basilisk Station
Octavia E. Butler,Dawn
Connie Willis,To Say Nothing of the Dog
Richard Matheson,I Am Legend
Iain M. Banks,Use of Weapons
Frederik Pohl,Gateway
Alfred Bester,The Demolished Man
Kim Stanley Robinson,Green Mars
Arthur C. Clarke,The City and the Stars
C.S. Lewis,Perelandra
Philip K. Dick,"Flow My Tears, the Policeman Said"
Lois McMaster Bujold,The Warrior's Apprentice
Philip K. Dick,The Three Stigmata of Palmer Eldritch
John Wyndham,The Chrysalids
Roger Zelazny,Lord of Light
Peter F. Hamilton,The Reality Dysfunction
Isaac Asimov & Robert Silverberg,Nightfall
Edwin A. Abbott,Flatland: A Romance of Many Dimensions
David Brin,Sundiver
Lois McMaster Bujold,Barrayar
Larry Niven & Jerry Pournelle,Lucifer's Hammer
William Gibson,Burning Chrome
Isaac Asimov,Pebble in the Sky
David Brin,Startide Rising
Arthur C. Clarke,The Fountains of Paradise
Philip José Farmer,To Your Scattered Bodies Go
David Brin,The Postman
Robert A. Heinlein,Time Enough for Love
Robert A. Heinlein,Have Space Suit—Will Travel
Ursula K. Le Guin,The Word for World is Forest
Lois McMaster Bujold,The Vor Game
Iain M. Banks,Excession
Isaac Asimov,"The Stars, Like Dust"
Clifford D. Simak,Way Station
Greg Bear,Eon
Robert A. Heinlein,The Door Into Summer
Robert A. Heinlein,The Puppet Masters
Robert A. Heinlein,Friday
Pierre Boulle,Planet of the Apes (aka Monkey Planet)
Philip K. Dick,VALIS
Samuel R. Delany,Babel-17
P.D. James,The Children of Men
Theodore Sturgeon,More Than Human
John Brunner,Stand on Zanzibar
Arthur Conan Doyle,The Lost World
Anne McCaffrey,The Ship Who Sang
Lois McMaster Bujold,Memory
John Wyndham,The Midwich Cuckoos
Robert A. Heinlein,Double Star
William Gibson & Bruce Sterling,The Difference Engine
C.J. Cherryh,Downbelow Station
David Brin,The Uplift War
Clifford D. Simak,City
William Gibson,Virtual Light
George R. Stewart,Earth Abides
Pat Frank,"Alas, Babylon"
Greg Bear,Darwin's Radio
Samuel R. Delany,Dhalgren
Arthur C. Clarke,The Songs of Distant Earth
Jules Verne,From the Earth to the Moon
L. Ron Hubbard,Battlefield Earth
Robert A. Heinlein,Citizen of the Galaxy
Greg Bear,Blood Music
Poul Anderson,Tau Zero
Robert J. Sawyer,Flashforward
Edgar Rice Burroughs,The Gods of Mars
Ayn Rand,Anthem
Joe Haldeman,Forever Peace
C.J. Cherryh,Foreigner
Sheri S. Tepper,Grass
H.G. Wells,The First Men in the Moon
J.G. Ballard,The Drowned World
Greg Bear,The Forge of God
Kurt Vonnegut Jr.,Galapagos
Harry Harrison,The Stainless Steel Rat
Anne McCaffrey,The Rowan
Stanislaw Lem,The Cyberiad
John Christopher,The White Mountains
Philip K. Dick,Martian Time-Slip
Joanna Russ,The Female Man
Frederik Pohl & C.M. Kornbluth,The Space Merchants
Jack McDevitt,The Engines of God
Kurt Vonnegut Jr.,Player Piano
John Steakley,Armor
Joan D. Vinge,The Snow Queen
Kate Wilhelm,Where Late the Sweet Birds Sang
Olaf Stapledon,Star Maker
Nevil Shute,On the Beach
Jack Finney,Invasion of the Body Snatchers
Nancy Kress,Beggars in Spain
Philip K. Dick,Time Out of Joint
Christopher Priest,The Inverted World
Greg Egan,Diaspora
Julian May,The Many-Coloured Land
Gregory Benford,Timescape
Kage Baker,In the Garden of Iden
Harlan Ellison [editor],Dangerous Visions
Vonda N. McIntyre,Dreamsnake
Marge Piercy,Woman on the Edge of Time
Stephen R. Donaldson,The Real Story
Samuel R. Delany,Nova
Robert A. Heinlein,The Man Who Sold the Moon
C.J. Cherryh,Cyteen
H. Beam Piper,Little Fuzzy
Olaf Stapledon,Last and First Men
Greg Egan,Permutation City
William F. Nolan,Logan's Run
David Brin,Earth
Frederik Pohl,Man Plus
Peter Watts,Starfish
Robert Silverberg,Dying Inside
James Blish,A Case of Conscience
Robert L. Forward,Dragon's Egg
Brian W. Aldiss,Non-Stop
Hal Clement,Mission of Gravity
Stanislaw Lem,The Futurological Congress
A.E. van Vogt,Slan
John Brunner,The Sheep Look Up
Andy Weir,The Martian
Ernest Cline,Ready Player One
Liu Cixin,The Three-Body Problem
Andy Weir,Project Hail Mary
Martha Wells,All Systems Red
James S.A. Corey,Leviathan Wakes
Blake Crouch,Dark Matter
Pierce Brown,Red Rising
Becky Chambers,The Long Way to a Small Angry Planet
John Scalzi,Old Man's War
Jeff VanderMeer,Annihilation
Andy Weir,Artemis
Ann Leckie,Ancillary Justice
Adrian Tchaikovsky,Children of Time
Blake Crouch,Recursion
Stephenie Meyer,The Host
John Scalzi,Redshirts
Hugh Howey,Wool Omnibus
Margaret Atwood,Oryx and Crake
Richard K. Morgan,Altered Carbon
Ted Chiang,Stories of Your Life and Others
Emily St. John Mandel,Sea of Tranquility
Becky Chambers,A Psalm for the Wild-Built
