Author,Title,ISBN-10,ISBN-13,OpenLibrary Work ID
Orson Scott Card,Ender's Game,0712607943,9780712607940,OL49488W
Frank Herbert,Dune,1444738208,9781444738209,OL893415W
Douglas Adams,The Hitchhiker's Guide to the Galaxy,1787534677,9781787534674,OL29319024W
Ray Bradbury,Fahrenheit 451,,9781508760863,OL103123W
George Orwell,1984,,9788418933011,OL30827457W
Aldous Huxley,Brave New World,,9781514350126,OL64365W
Isaac Asimov,Foundation,,9780008117498,OL46125W
Philip K. Dick,Do Androids Dream of Electric Sheep?,0345350472,9780345350473,OL2172356W
H.G. Wells,The Time Machine,1499181892,9781499181890,OL52267W
William Gibson,Neuromancer,0441007465,,OL27258W
Isaac Asimov,"I, Robot",,9788804735113,OL46241W
Robert A. Heinlein,Stranger in a Strange Land,,9781101208960,OL59688W
Michael Crichton,Jurassic Park,,9788811602279,OL46881W
Arthur C. Clarke,2001: A Space Odyssey,,,OL31696297W
Douglas Adams,Restaurant at the End of the Universe,,9781535200080,OL41206116W
H.G. Wells,The War of the Worlds,0060791241,9780060791247,OL52114W
Orson Scott Card,Speaker for the Dead,0812532570,9780812532579,OL49580W
Ray Bradbury,The Martian Chronicles,0380973839,,OL103134W
Dan Simmons,Hyperion,0575076372,9780575076372,OL1963268W
Kurt Vonnegut Jr.,Slaughterhouse-Five,0099800209,,OL98459W
Ursula K. Le Guin,The Left Hand of Darkness,,9781101665398,OL59800W
Neal Stephenson,Snow Crash,0613361628,9780613361620,OL38501W
Mary Shelley,Frankenstein,8571643989,9788571643987,OL34872997W
Isaac Asimov,Foundation and Empire,,9798523747458,OL46224W
Douglas Adams,"Life, the Universe and Everything",0517548747,9780517548745,OL2163623W
Robert A. Heinlein,Starship Troopers,,9788804755166,OL59740W
Isaac Asimov,Second Foundation,0345309014,,OL46309W
Frank Herbert,Dune Messiah,0441015611,9780441015610,OL893526W
Joe Haldeman,The Forever War,0312298900,9780312298906,OL271163W
Philip K. Dick,The Man in the High Castle,0679740678,,OL2172403W
Arthur C. Clarke,Childhood's End,0345444051,,OL17415W
Arthur C. Clarke,Rendezvous with Rama,,9780358380221,OL17417W
Daniel Keyes,Flowers for Algernon,,9781464043109,OL515754W
Robert A. Heinlein,The Moon Is a Harsh Mistress,0399105565,9780399105562,OL59704W
Orson Scott Card,Xenocide,0712647740,,OL49604W
Frank Herbert,Children of Dune,0425043835,9780425043837,OL893516W
Ursula K. Le Guin,The Dispossessed,,9781857988826,OL59863W
Larry Niven,Ringworld,0765324628,9780765324627,OL510405W
Orson Scott Card,Ender's Shadow,031286860X,,OL49496W
Walter M. Miller Jr.,A Canticle for Leibowitz,,9780553273816,OL2626638W
Isaac Asimov,The Caves of Steel,,9780007384860,OL46401W
H.G. Wells,The Invisible Man,,9781101084571,OL52266W
Iain M. Banks,Consider Phlebas,3453215303,9783453215306,OL8368432W
Kurt Vonnegut Jr.,Cat's Cradle,1439501378,9781439501375,OL98454W
Jules Verne,Twenty Thousand Leagues Under the Sea,,9798463321336,OL26674157W
Michael Crichton,The Andromeda Strain,0345378482,9780345378484,OL46909W
Carl Sagan,Contact,0671434004,,OL2950903W
Kim Stanley Robinson,Red Mars,0586213899,9780586213896,OL81665W
Isaac Asimov,Foundation's Edge,0918372100,9780918372109,OL46302W
Anthony Burgess,A Clockwork Orange,,9781408140970,OL261794W
Dan Simmons,The Fall of Hyperion,0747236046,9780747236047,OL1963251W
Philip K. Dick,Ubik,8498003180,9788498003185,OL2172454W
Stanislaw Lem,Solaris,9754706255,9789754706253,OL109524W
Jules Verne,Journey to the Center of the Earth,1559027835,9781559027830,OL18437639W
John Wyndham,The Day of the Triffids,0783803265,,OL1911336W
H.G. Wells,The Island of Doctor Moreau,,9781958321461,OL38438405W
Neal Stephenson,The Diamond Age,0553096095,,OL38499W
Michael Crichton,Sphere,0394561104,9780394561103,OL46917W
Connie Willis,Doomsday Book,0553351672,,OL14858406W
Philip K. Dick,A Scanner Darkly,1857988477,9781857988475,OL2172433W
Octavia E. Butler,Kindred,,9780807083697,OL35616W
Ursula K. Le Guin,The Lathe of Heaven,0060512741,,OL59858W
Mary Doria Russell,The Sparrow,1567401929,9781567401929,OL2732491W
Alfred Bester,The Stars My Destination,1857988140,9781857988147,OL1819353W
Michael Crichton,Timeline,0679444815,9780679444817,OL46884W
Vernor Vinge,A Fire Upon the Deep,0765329824,9780765329820,OL1975714W
Kurt Vonnegut Jr.,The Sirens of Titan,0736601139,9780736601139,OL98485W
Ray Bradbury,The Illustrated Man,0380973847,,OL103128W
Isaac Asimov,The Naked Sun,0449242439,,OL46398W
Iain M. Banks,The Player of Games,0061053562,,OL100779W
C.S. Lewis,Out of the Silent Planet,0020868804,,OL71166W
Isaac Asimov,The Gods Themselves,,9788804406839,OL46395W
Octavia E. Butler,Parable of the Sower,141975405X,9781419754050,OL35623W
Larry Niven & Jerry Pournelle,The Mote in God's Eye,0671741926,9780671741921,OL15331302W
Neal Stephenson,Cryptonomicon,,9780060575502,OL38494W
Isaac Asimov,The Robots of Dawn,0007270410,9780007270415,OL46377W
Arthur C. Clarke,2010: Odyssey Two,0345303059,,OL17391W
Lois McMaster Bujold,Shards of Honour,1886778205,9781886778207,OL56899W
Edgar Rice Burroughs,A Princess of Mars,0345331389,9780345331380,OL1418187W
Yevgeny Zamyatin,We,,,
Arkady & Boris Strugatsky,Roadside Picnic,1613743416,9781613743416,OL7967812W
Isaac Asimov,The End of Eternity,7539957174,9787539957173,OL46108W
David Weber,On Basilisk Station,1416509372,9781416509370,OL80028W
Octavia E. Butler,Dawn,0445207795,9780445207790,OL35628W
Connie Willis,To Say Nothing of the Dog,2290324914,9782290324912,OL14858392W
Richard Matheson,I Am Legend,1857988094,9781857988093,OL11374287W
Iain M. Banks,Use of Weapons,185723135X,9781857231359,OL8996532W
Frederik Pohl,Gateway,0312317808,,OL60924W
Alfred Bester,The Demolished Man,067182046X,9780671820466,OL16027965W
Kim Stanley Robinson,Green Mars,0553572393,9780553572391,OL81655W
Arthur C. Clarke,The City and the Stars,1567231608,9781567231601,OL17400W
C.S. Lewis,Perelandra,0025708406,9780025708402,OL71163W
Philip K. Dick,"Flow My Tears, the Policeman Said",0385008871,,OL2172518W
Lois McMaster Bujold,The Warrior's Apprentice,1886778272,9781886778276,OL56887W
Philip K. Dick,The Three Stigmata of Palmer Eldritch,8445073680,9788445073681,OL2172402W
